make,price,year,kilometer,fuel type,transmission,color,owner,seller type,engine,seating capacity,fuel tank capacity
Volkswagen,375000,2013,39000,Petrol,Manual,Red,First,Individual,1198.0,5.0,45.0
Maruti Suzuki,300000,2011,90000,Petrol,Manual,White,Second,Individual,1692.5755432036383,5.0,52.00220966084276
Jaguar,3299000,2017,29999,Diesel,Automatic,Blue,First,Individual,1999.0,5.0,56.0
Tata,565000,2014,100472,Diesel,Manual,White,First,Individual,1948.0,7.0,65.0
Audi,1798999,2016,84700,Diesel,Automatic,White,First,Individual,1968.0,5.0,64.0
Maruti Suzuki,189000,2008,19759,Petrol,Manual,Blue,First,Individual,796.0,5.0,35.0
Jaguar,1875000,2014,66000,Diesel,Automatic,Green,First,Individual,1692.5755432036383,5.0,52.00220966084276
Hyundai,545000,2014,56000,Petrol,Manual,Red,First,Individual,1591.0,5.0,43.0
Hyundai,1085000,2022,3383,Petrol,Manual,Blue,First,Individual,998.0,5.0,45.0
Maruti Suzuki,725000,2018,42000,Diesel,Manual,White,First,Individual,1248.0,5.0,48.0
BMW,1090000,2012,65000,Diesel,Automatic,Silver,Second,Individual,1995.0,5.0,67.0
Honda,900000,2019,17000,Petrol,Manual,White,First,Individual,1199.0,5.0,40.0
BMW,3400000,2016,38000,Diesel,Automatic,White,Second,Individual,1995.0,5.0,65.0
Honda,295000,2014,62500,Diesel,Manual,Bronze,First,Individual,1498.0,5.0,35.0
Tata,2251000,2021,30229,Diesel,Automatic,White,First,Individual,1956.0,5.0,50.0
Porsche,9300000,2019,9000,Petrol,Automatic,Blue,First,Corporate,3436.0,4.0,68.0
Maruti Suzuki,430000,2016,26600,CNG,Manual,Brown,First,Individual,998.0,5.0,35.0
Maruti Suzuki,600000,2017,86000,Diesel,Manual,Brown,Second,Individual,1248.0,5.0,43.0
Hyundai,1595000,2017,86000,Petrol,Automatic,Blue,First,Individual,1999.0,5.0,62.0
Volkswagen,290000,2014,125000,Diesel,Manual,Silver,First,Individual,1692.5755432036383,5.0,52.00220966084276
Hyundai,375000,2013,29135,Petrol,Manual,White,First,Individual,1197.0,5.0,45.0
Volvo,1200000,2015,50965,Diesel,Automatic,White,First,Corporate,1984.0,5.0,60.0
Toyota,1525000,2014,72000,Diesel,Automatic,White,First,Individual,2982.0,7.0,80.0
Mercedes-Benz,2675000,2016,28000,Petrol,Automatic,Silver,First,Individual,1991.0,5.0,66.0
Honda,545000,2015,42000,Petrol,Automatic,White,First,Individual,1199.0,5.0,40.0
Mercedes-Benz,7900000,2017,11850,Diesel,Automatic,White,First,Individual,2925.0,5.0,70.0
Honda,195000,2010,32000,Petrol,Manual,Silver,First,Individual,1198.0,5.0,42.0
BMW,4550000,2021,24000,Diesel,Automatic,White,First,Individual,1995.0,5.0,59.0
Land Rover,2499000,2015,50623,Diesel,Automatic,Gold,Second,Individual,2179.0,5.0,57.0
Mahindra,210000,2012,85000,Diesel,Manual,White,Fourth,Individual,2489.0,7.0,55.0
Hyundai,1097000,2022,1700,Diesel,Manual,White,First,Individual,1493.0,5.0,45.0
Volkswagen,1095000,2020,43260,Petrol,Automatic,Red,First,Individual,1197.0,5.0,45.0
Maruti Suzuki,325000,2015,67738,CNG,Manual,White,Second,Individual,998.0,5.0,35.0
Mahindra,1375000,2019,69000,Diesel,Manual,Black,First,Individual,2179.0,7.0,60.0
Audi,975000,2012,93417,Diesel,Automatic,White,First,Individual,1692.5755432036383,5.0,52.00220966084276
Maruti Suzuki,745000,2021,14722,Petrol,Manual,White,First,Individual,1197.0,5.0,37.0
Toyota,2175000,2017,29000,Diesel,Manual,Bronze,First,Individual,2393.0,7.0,55.0
Jeep,1250000,2017,60200,Petrol,Automatic,White,First,Corporate,1368.0,5.0,60.0
Maruti Suzuki,500000,2017,140000,Diesel,Manual,Grey,First,Individual,1248.0,5.0,42.0
Honda,625000,2017,23798,Petrol,Manual,Brown,First,Individual,1199.0,5.0,40.0
Honda,250000,2011,55000,Petrol,Manual,Silver,First,Individual,1497.0,5.0,42.0
Volkswagen,650000,2017,51000,Petrol,Automatic,White,First,Individual,1197.0,5.0,55.0
Honda,310000,2014,49000,Petrol,Manual,Brown,Second,Individual,1198.0,5.0,35.0
Renault,600000,2017,48000,Petrol,Manual,Black,First,Individual,1498.0,5.0,50.0
BMW,1400000,2013,121000,Diesel,Automatic,Blue,First,Individual,1995.0,5.0,52.00220966084276
Ford,295000,2013,74000,Diesel,Manual,Maroon,First,Individual,1498.0,5.0,43.0
Mahindra,484999,2012,102000,Diesel,Manual,Grey,Second,Individual,2179.0,7.0,70.0
BMW,4250000,2018,32000,Petrol,Automatic,Blue,First,Individual,1998.0,5.0,57.0
Tata,1550000,2020,48400,Electric,Automatic,White,First,Individual,1692.5755432036383,5.0,52.00220966084276
Tata,375000,2013,97000,Diesel,Manual,Black,First,Individual,2179.0,7.0,55.0
Kia,1625000,2021,16000,Petrol,Automatic,Red,First,Individual,1353.0,5.0,50.0
Porsche,5350000,2016,55700,Diesel,Automatic,Silver,First,Corporate,2967.0,5.0,85.0
BMW,4250000,2017,80000,Diesel,Automatic,White,First,Individual,2993.0,5.0,80.0
Ford,480000,2014,115000,Diesel,Manual,White,First,Individual,1498.0,5.0,52.0
Hyundai,590000,2020,74000,Petrol,Manual,White,First,Individual,1197.0,5.0,37.0
Hyundai,561000,2015,61000,Diesel,Manual,Silver,First,Individual,1396.0,5.0,45.0
Toyota,725000,2014,104814,Petrol,Manual,Grey,First,Individual,1798.0,5.0,55.0
Hyundai,645000,2013,17000,Petrol,Manual,White,First,Individual,1797.0,5.0,56.0
Audi,1695000,2015,60000,Diesel,Automatic,White,Second,Individual,1968.0,5.0,64.0
Maruti Suzuki,450000,2016,45000,Petrol,Manual,White,First,Individual,1197.0,5.0,42.0
Mahindra,1375000,2016,75811,Diesel,Manual,Black,First,Individual,2179.0,7.0,70.0
Mahindra,1700000,2021,3813,Petrol,Manual,Red,First,Individual,1997.0,4.0,57.0
Maruti Suzuki,525000,2016,64928,Petrol,Manual,Red,First,Individual,1197.0,5.0,42.0
Maruti Suzuki,590000,2018,68500,Diesel,Manual,Grey,First,Individual,1248.0,5.0,37.0
Toyota,1495000,2014,85000,Diesel,Automatic,White,First,Individual,2982.0,7.0,80.0
BMW,3300000,2017,41296,Diesel,Automatic,Blue,First,Individual,1995.0,5.0,65.0
Honda,385000,2013,72567,Diesel,Manual,White,First,Individual,1498.0,5.0,35.0
Maruti Suzuki,535000,2020,4295,Petrol,Manual,Silver,First,Individual,998.0,5.0,35.0
Maruti Suzuki,875000,2018,82000,Diesel,Manual,White,First,Individual,1248.0,5.0,48.0
Maruti Suzuki,295000,2010,33000,Petrol,Manual,Grey,First,Individual,1298.0,5.0,43.0
Fiat,235000,2011,54000,Petrol,Manual,Black,First,Individual,1368.0,5.0,45.0
Hyundai,969999,2018,68000,Diesel,Manual,Black,First,Individual,1582.0,5.0,55.0
Honda,1700000,2022,8530,Petrol,Automatic,White,UnRegistered Car,Individual,1498.0,5.0,40.0
Hyundai,1789999,2018,46000,Petrol,Automatic,Black,First,Individual,1999.0,5.0,62.0
Toyota,1964999,2020,26000,Petrol,Manual,Silver,First,Individual,2694.0,7.0,65.0
Audi,4000000,2014,39394,Petrol,Automatic,White,Second,Individual,1984.0,2.0,60.0
Tata,484999,2018,35000,Petrol,Automatic,Blue,First,Individual,1199.0,5.0,35.0
Maruti Suzuki,580000,2019,17881,Petrol,Manual,Grey,First,Individual,1197.0,5.0,42.0
Honda,450000,2014,48409,Petrol,Manual,White,Second,Individual,1497.0,5.0,40.0
Maruti Suzuki,355000,2020,40000,Petrol,Manual,White,First,Individual,796.0,5.0,35.0
Audi,2375000,2017,61643,Diesel,Automatic,Blue,First,Individual,1968.0,5.0,64.0
Mercedes-Benz,6500000,2020,21000,Petrol,Automatic,White,Second,Individual,1991.0,4.0,59.0
Tata,1050000,2022,1500,Petrol,Manual,Black,First,Individual,1199.0,5.0,44.0
Ford,445000,2014,38985,Diesel,Manual,Silver,First,Individual,1498.0,5.0,52.0
Honda,495000,2015,52000,Petrol,Manual,Brown,First,Individual,1199.0,5.0,40.0
Hyundai,275000,2011,42000,Petrol,Manual,Grey,First,Individual,1197.0,5.0,35.0
Honda,465000,2014,29442,Petrol,Automatic,Silver,First,Individual,1198.0,5.0,35.0
Jeep,1050000,2017,71800,Diesel,Manual,Black,First,Individual,1956.0,5.0,60.0
Mercedes-Benz,4900000,2022,5000,Petrol,Automatic,White,First,Individual,1497.0,5.0,66.0
Hyundai,695000,2020,18000,CNG,Manual,Green,First,Individual,1197.0,5.0,60.0
Toyota,3210000,2018,37000,Diesel,Automatic,White,First,Individual,2755.0,7.0,80.0
Honda,269000,2009,85000,Petrol,Manual,White,Second,Individual,1497.0,5.0,42.0
Hyundai,445000,2018,65555,Diesel,Manual,White,Second,Individual,1186.0,5.0,43.0
Land Rover,5950000,2021,35000,Diesel,Automatic,Beige,First,Individual,1999.0,5.0,66.5
BMW,3800000,2018,87000,Diesel,Automatic,Blue,First,Individual,1995.0,5.0,67.0
Hyundai,1000000,2018,42000,Petrol,Automatic,White,First,Individual,1591.0,5.0,60.0
Mahindra,1490000,2018,68000,Diesel,Manual,White,Second,Individual,2179.0,7.0,60.0
MG,1550000,2022,600,Petrol,Manual,Orange,First,Individual,1498.0,5.0,48.0
Tata,199000,2011,192326,Diesel,Manual,White,Third,Individual,2179.0,7.0,65.0
Toyota,575000,2013,82000,Petrol,Manual,Gold,UnRegistered Car,Individual,1998.0,8.0,55.0
Toyota,484999,2017,86006,Diesel,Manual,White,First,Individual,1364.0,5.0,45.0
Honda,425000,2014,75000,Diesel,Manual,White,First,Individual,1498.0,5.0,40.0
Mahindra,1150000,2014,99000,Diesel,Manual,Silver,First,Individual,2179.0,8.0,60.0
Skoda,3195000,2021,21651,Petrol,Automatic,Blue,First,Individual,1798.0,5.0,66.0
Hyundai,725000,2016,84000,Diesel,Manual,White,First,Individual,1396.0,5.0,45.0
Mercedes-Benz,2450000,2014,65000,Diesel,Automatic,White,Second,Individual,2997.0,5.0,70.0
Maruti Suzuki,741000,2017,31000,Petrol,Automatic,Blue,First,Individual,1373.0,5.0,43.0
Mercedes-Benz,7350000,2022,17000,Diesel,Automatic,Grey,First,Individual,1950.0,5.0,80.0
Mahindra,1550000,2020,28000,Diesel,Manual,Black,First,Individual,2184.0,6.0,57.0
Honda,645000,2015,64000,Diesel,Manual,White,First,Individual,1498.0,5.0,40.0
Honda,550000,2014,85000,Diesel,Manual,Silver,First,Individual,1498.0,5.0,40.0
Maruti Suzuki,595000,2017,35000,Petrol,Automatic,Blue,Third,Individual,1197.0,5.0,37.0
Volvo,1595000,2015,44000,Diesel,Automatic,Blue,First,Individual,1984.0,5.0,60.0
Maruti Suzuki,500000,2017,32000,Petrol,Automatic,Orange,Second,Individual,998.0,5.0,35.0
Maruti Suzuki,345000,2016,49857,Petrol,Manual,White,First,Individual,998.0,5.0,35.0
Maruti Suzuki,299000,2013,46000,Petrol,Manual,White,First,Individual,998.0,5.0,35.0
Maruti Suzuki,160000,2008,50000,Petrol,Manual,Silver,Second,Individual,1061.0,5.0,35.0
Maruti Suzuki,570000,2017,36000,Petrol,Automatic,White,First,Individual,1197.0,5.0,37.0
Renault,800000,2021,13000,Petrol,Automatic,White,First,Individual,999.0,5.0,40.0
Maruti Suzuki,440000,2018,40000,Petrol,Manual,White,First,Individual,1692.5755432036383,5.0,32.0
Mercedes-Benz,509999,2007,39000,Petrol,Automatic,Silver,Third,Individual,1692.5755432036383,5.0,52.00220966084276
Hyundai,315000,2013,45000,Petrol,Manual,Grey,First,Individual,998.0,5.0,32.0
Maruti Suzuki,227000,2011,87513,Petrol,Manual,Blue,Second,Individual,796.0,5.0,35.0
Mercedes-Benz,1850000,2011,26000,Petrol,Automatic,Black,First,Individual,3498.0,5.0,90.0
Maruti Suzuki,610000,2022,3800,CNG,Manual,White,First,Individual,998.0,4.0,55.0
Toyota,1995000,2018,35123,Diesel,Manual,White,First,Individual,2393.0,8.0,55.0
Kia,1875000,2021,21000,Diesel,Automatic,Grey,First,Individual,1493.0,5.0,50.0
Hyundai,1748999,2022,2670,Petrol,Automatic,White,First,Individual,1497.0,5.0,50.0
Skoda,640000,2016,124000,Diesel,Manual,Grey,First,Individual,1598.0,5.0,55.0
Hyundai,779000,2016,9889,Petrol,Manual,Blue,First,Individual,1197.0,5.0,45.0
Honda,1450000,2021,13000,Petrol,Automatic,Brown,First,Individual,1497.0,5.0,40.0
Tata,890000,2018,35000,Petrol,Automatic,Orange,First,Individual,1198.0,5.0,44.0
Maruti Suzuki,625000,2017,51145,Petrol,Manual,Red,First,Individual,1197.0,5.0,37.0
Mercedes-Benz,8500000,2019,13000,Diesel,Automatic,White,First,Individual,2987.0,7.0,100.0
Audi,2900000,2011,56000,Petrol,Automatic,Red,Third,Individual,4163.0,5.0,64.0
Toyota,434999,2010,120000,Diesel,Manual,Silver,First,Individual,1692.5755432036383,5.0,52.00220966084276
Mercedes-Benz,4550000,2018,45000,Diesel,Automatic,Grey,First,Individual,2143.0,5.0,66.0
Skoda,2500000,2017,82900,Diesel,Automatic,Brown,First,Individual,1968.0,5.0,66.0
Maruti Suzuki,249000,2014,56843,CNG + CNG,Manual,White,Second,Individual,796.0,5.0,35.0
Ford,270000,2015,64000,Petrol,Manual,Grey,First,Individual,1196.0,5.0,45.0
Maruti Suzuki,825000,2019,9644,Petrol,Automatic,Blue,First,Individual,1197.0,5.0,37.0
Maruti Suzuki,425000,2017,41624,Petrol,Automatic,White,Second,Individual,998.0,5.0,35.0
Hyundai,459999,2016,82844,Diesel,Manual,Grey,First,Individual,1186.0,5.0,43.0
Mercedes-Benz,980000,2011,78000,Petrol,Automatic,White,Second,Individual,2497.0,5.0,80.0
Renault,789000,2017,60444,Petrol,Manual,Red,First,Individual,1498.0,5.0,50.0
BMW,5100000,2022,6000,Petrol,Automatic,White,First,Individual,1998.0,5.0,57.0
Mahindra,775000,2014,125000,Diesel,Manual,White,First,Individual,2179.0,8.0,60.0
Hyundai,1400000,2019,13000,Petrol,Automatic,White,First,Individual,1591.0,5.0,60.0
Maruti Suzuki,770000,2015,112000,Diesel,Manual,Gold,First,Individual,1248.0,7.0,45.0
Maruti Suzuki,445000,2012,54948,Diesel,Manual,Silver,First,Individual,1248.0,5.0,43.0
Hyundai,450000,2016,53300,Petrol,Manual,Maroon,First,Individual,1197.0,5.0,43.0
Honda,840000,2019,34000,Petrol,Manual,White,First,Individual,1497.0,5.0,40.0
Mercedes-Benz,18500000,2021,21000,Petrol,Automatic,Black,First,Individual,3982.0,4.0,70.0
Land Rover,4000000,2017,25500,Diesel,Automatic,White,Second,Individual,1999.0,5.0,57.0
Mahindra,690000,2015,157662,Diesel,Manual,Silver,Second,Individual,1997.0,7.0,70.0
Mercedes-Benz,2800000,2018,20000,Diesel,Automatic,Red,First,Individual,2143.0,5.0,56.0
Hyundai,525000,2018,78900,Diesel,Manual,Silver,First,Individual,1120.0,5.0,43.0
Maruti Suzuki,285000,2011,52000,CNG,Manual,Brown,First,Individual,998.0,5.0,35.0
Mercedes-Benz,7780000,2022,11000,Diesel,Automatic,Black,First,Individual,1950.0,5.0,80.0
Skoda,1989999,2018,103000,Diesel,Automatic,White,First,Individual,1692.5755432036383,7.0,63.0
Tata,1200000,2017,95785,Diesel,Automatic,Blue,First,Individual,2179.0,7.0,60.0
Ford,620000,2017,92000,Diesel,Manual,Brown,First,Individual,1498.0,5.0,52.0
Jaguar,5200000,2019,43000,Diesel,Automatic,Black,First,Individual,1999.0,5.0,82.0
Mercedes-Benz,1998999,2017,39328,Diesel,Automatic,Silver,First,Individual,2143.0,5.0,56.0
Toyota,2725000,2020,18625,Diesel,Automatic,Bronze,First,Individual,2393.0,7.0,55.0
Maruti Suzuki,590000,2019,26000,Petrol,Manual,Blue,First,Individual,1197.0,5.0,42.0
MINI,1489000,2014,81000,Diesel,Automatic,Purple,Second,Individual,1995.0,5.0,47.0
Maruti Suzuki,685000,2018,92000,Diesel,Automatic,White,First,Individual,1248.0,5.0,37.0
Mahindra,1121000,2019,38000,Diesel,Manual,White,First,Individual,2523.0,7.0,60.0
Tata,114999,2012,93000,Petrol,Manual,Silver,Second,Individual,1368.0,5.0,44.0
Maruti Suzuki,545000,2019,10340,Petrol,Manual,White,First,Individual,998.0,5.0,35.0
Audi,1350000,2015,47706,Diesel,Automatic,Black,First,Individual,1968.0,5.0,64.0
Maruti Suzuki,1299000,2021,13400,Petrol,Manual,White,First,Individual,1462.0,6.0,45.0
Ford,450000,2016,44613,Diesel,Manual,Silver,First,Individual,1498.0,5.0,40.0
Porsche,9000000,2017,7000,Petrol,Automatic,Red,First,Individual,1988.0,2.0,54.0
Maruti Suzuki,550000,2019,29000,Petrol,Manual,Grey,First,Individual,1197.0,5.0,42.0
BMW,4390000,2020,23000,Diesel,Automatic,White,First,Corporate,1995.0,5.0,57.0
Maruti Suzuki,445000,2015,67580,CNG,Manual,White,First,Individual,998.0,5.0,35.0
Hyundai,495000,2015,42000,Petrol,Manual,Red,First,Individual,1591.0,5.0,43.0
Hyundai,360000,2015,16205,Petrol,Manual,White,First,Individual,998.0,5.0,32.0
Maruti Suzuki,345000,2007,92000,Petrol,Automatic,Black,Third,Individual,1995.0,5.0,66.0
Hyundai,565000,2016,29000,Petrol,Automatic,Silver,First,Individual,1197.0,5.0,43.0
Mercedes-Benz,9390000,2022,14000,Diesel,Automatic,White,First,Individual,1950.0,5.0,93.0
Mahindra,615000,2017,69000,Diesel,Automatic,Black,First,Individual,1493.0,7.0,60.0
Honda,525000,2015,114635,Diesel,Manual,Grey,First,Individual,1498.0,5.0,40.0
BMW,2650000,2018,50000,Diesel,Automatic,Blue,Second,Individual,1995.0,5.0,63.0
BMW,3785000,2019,29221,Diesel,Automatic,Blue,First,Individual,1995.0,5.0,63.0
Mercedes-Benz,1500000,2012,158000,Petrol,Automatic,Brown,First,Individual,1692.5755432036383,5.0,52.00220966084276
Audi,1175000,2012,77000,Diesel,Automatic,Blue,Second,Individual,1968.0,5.0,65.0
Mercedes-Benz,6400000,2022,5500,Diesel,Automatic,White,UnRegistered Car,Individual,1950.0,5.0,66.0
BMW,1450000,2013,70000,Diesel,Automatic,Blue,Second,Individual,1995.0,5.0,60.0
BMW,4900000,2017,65341,Diesel,Automatic,White,Second,Individual,2993.0,5.0,52.00220966084276
Honda,1390000,2022,32000,Petrol,Automatic,Brown,First,Individual,1498.0,5.0,40.0
Ferrari,35000000,2018,9500,Petrol,Automatic,Black,First,Individual,3902.0,2.0,78.0
Volkswagen,2990000,2020,17904,Diesel,Automatic,White,First,Individual,1968.0,5.0,71.0
Land Rover,2150000,2012,95000,Diesel,Automatic,White,First,Individual,2179.0,5.0,57.0
Maruti Suzuki,315000,2013,72000,CNG,Manual,Brown,First,Individual,998.0,5.0,35.0
Maruti Suzuki,71001,2004,65082,Petrol,Manual,Yellow,First,Individual,1692.5755432036383,5.0,52.00220966084276
Honda,295000,2012,66240,Petrol,Manual,Grey,Third,Individual,1692.5755432036383,5.0,52.00220966084276
Mercedes-Benz,8500000,2018,25275,Petrol,Automatic,Black,First,Individual,2996.0,5.0,93.0
Maruti Suzuki,400000,2016,67850,CNG,Manual,Red,First,Individual,998.0,5.0,35.0
Tata,49000,2010,60000,Petrol,Manual,White,First,Individual,624.0,4.0,15.0
Mahindra,379000,2012,88500,Diesel,Manual,White,Second,Individual,1692.5755432036383,5.0,52.00220966084276
Maruti Suzuki,610000,2017,105000,Diesel,Manual,Silver,First,Corporate,1248.0,5.0,42.0
Hyundai,1075000,2019,45000,Petrol,Automatic,White,First,Individual,1591.0,5.0,55.0
Mercedes-Benz,7500000,2021,8000,Diesel,Automatic,White,First,Individual,1950.0,5.0,80.0
Toyota,1321000,2018,38000,Petrol,Automatic,Gold,First,Corporate,1798.0,5.0,55.0
Maruti Suzuki,950000,2020,55055,Diesel,Manual,White,First,Individual,1248.0,5.0,48.0
Maruti Suzuki,825000,2021,22000,Petrol,Manual,Blue,First,Individual,1197.0,5.0,37.0
Mitsubishi,1300000,2013,95000,Diesel,Manual,Blue,Second,Individual,2477.0,7.0,70.0
Maruti Suzuki,465000,2014,25704,Petrol,Manual,Red,First,Individual,1197.0,5.0,42.0
Maruti Suzuki,475000,2016,55353,Diesel,Manual,Grey,Second,Individual,1248.0,5.0,42.0
Audi,1775000,2015,80000,Diesel,Automatic,Silver,First,Individual,1968.0,5.0,64.0
Volkswagen,825000,2018,62000,Petrol,Automatic,Brown,First,Corporate,1197.0,5.0,55.0
Ford,3450000,2019,41526,Diesel,Automatic,Silver,First,Individual,3198.0,7.0,80.0
Tata,379000,2018,29434,Petrol,Manual,Silver,Second,Individual,1047.0,5.0,35.0
Datsun,240000,2017,42000,Petrol,Manual,White,First,Individual,1198.0,5.0,35.0
Kia,1525000,2021,14000,Petrol,Manual,Black,First,Individual,1497.0,5.0,50.0
BMW,1400000,2014,35000,Diesel,Automatic,Brown,First,Individual,1995.0,5.0,60.0
Mercedes-Benz,1044999,2012,75000,Diesel,Automatic,White,Second,Individual,1692.5755432036383,5.0,52.00220966084276
Lamborghini,24000000,2016,6000,Petrol,Automatic,Blue,First,Individual,5204.0,2.0,52.00220966084276
Mercedes-Benz,2450000,2018,61000,Diesel,Automatic,Gold,Second,Individual,2143.0,5.0,50.0
Mercedes-Benz,1789999,2015,45000,Diesel,Automatic,White,First,Individual,2143.0,5.0,50.0
Mercedes-Benz,4275000,2019,31000,Diesel,Automatic,Blue,First,Individual,1950.0,5.0,66.0
Hyundai,775000,2020,39000,Petrol,Manual,White,First,Individual,1197.0,5.0,37.0
Maruti Suzuki,229999,2012,52000,Petrol,Manual,White,First,Individual,998.0,5.0,35.0
Maruti Suzuki,280000,2011,54000,CNG,Manual,Silver,First,Individual,998.0,5.0,35.0
Hyundai,300000,2018,51000,Petrol,Manual,White,First,Individual,814.0,5.0,32.0
Maruti Suzuki,160000,2011,72000,Petrol,Manual,Silver,First,Individual,998.0,5.0,35.0
Maruti Suzuki,150000,2011,65000,Petrol,Manual,White,First,Individual,796.0,5.0,35.0
Mercedes-Benz,8300000,2020,50000,Diesel,Automatic,White,First,Individual,1950.0,5.0,93.0
Audi,1685000,2016,80251,Diesel,Automatic,Blue,Second,Individual,1968.0,5.0,64.0
Hyundai,270000,2010,86000,Petrol,Manual,Grey,Second,Individual,1197.0,5.0,35.0
Maruti Suzuki,210000,2014,42505,Petrol,Manual,Red,First,Individual,796.0,5.0,35.0
Hyundai,625000,2017,42000,Petrol,Manual,Silver,First,Individual,1197.0,5.0,45.0
BMW,6900000,2017,42200,Diesel,Automatic,Black,First,Individual,2993.0,4.0,78.0
Kia,1490000,2019,57600,Petrol,Automatic,White,First,Individual,1353.0,5.0,50.0
Mahindra,1095000,2018,57000,Diesel,Manual,Black,First,Individual,2179.0,7.0,70.0
Ford,850000,2014,85000,Diesel,Automatic,Black,First,Individual,2953.0,7.0,71.0
Hyundai,1600000,2016,128000,Diesel,Automatic,White,Second,Corporate,1995.0,5.0,62.0
Toyota,265000,2011,66000,Petrol,Manual,Black,First,Individual,1496.0,5.0,45.0
Volkswagen,360000,2013,58000,Petrol,Manual,Bronze,First,Individual,1598.0,5.0,55.0
Maruti Suzuki,350000,2012,89445,Diesel,Manual,Grey,First,Individual,1248.0,5.0,43.0
Toyota,1485000,2015,64120,Diesel,Manual,White,Second,Individual,2982.0,7.0,80.0
Maruti Suzuki,800000,2017,82300,Petrol,Manual,White,First,Individual,1373.0,5.0,43.0
Maruti Suzuki,710000,2017,73000,Diesel,Manual,White,First,Individual,1248.0,5.0,48.0
Maruti Suzuki,710000,2018,72000,Diesel,Manual,Blue,First,Individual,1598.0,5.0,48.0
Volkswagen,720000,2018,50197,Petrol,Manual,Grey,First,Individual,999.0,5.0,45.0
Honda,395000,2014,44527,Petrol,Manual,Brown,First,Individual,1198.0,5.0,35.0
Audi,2799000,2017,72400,Diesel,Automatic,White,First,Individual,1968.0,5.0,54.0
Ford,455000,2014,50000,Petrol,Manual,White,Second,Individual,1499.0,5.0,52.0
Honda,690000,2014,37000,Petrol,Manual,White,First,Individual,1497.0,5.0,40.0
Mercedes-Benz,13000000,2021,20000,Diesel,Automatic,Blue,First,Individual,2925.0,7.0,90.0
Tata,1995000,2020,8000,Diesel,Automatic,Black,First,Individual,1956.0,5.0,50.0
BMW,1750000,2014,69000,Diesel,Automatic,White,Second,Individual,1995.0,5.0,65.0
BMW,2900000,2019,25000,Diesel,Automatic,White,First,Individual,1995.0,5.0,63.0
BMW,4500000,2022,17000,Diesel,Automatic,White,First,Individual,1995.0,5.0,63.0
Honda,450000,2013,61000,Petrol,Manual,Maroon,First,Individual,1497.0,5.0,42.0
BMW,2149000,2015,69000,Diesel,Automatic,Silver,First,Individual,1995.0,5.0,65.0
Mercedes-Benz,4200000,2015,77000,Diesel,Automatic,Black,Second,Individual,2987.0,7.0,100.0
Tata,860000,2018,82200,Diesel,Manual,Grey,First,Individual,1497.0,5.0,44.0
Honda,875000,2018,28000,Petrol,Manual,Silver,First,Individual,1497.0,5.0,40.0
Mahindra,580000,2011,117000,Diesel,Manual,White,Second,Individual,2179.0,7.0,60.0
MG,3500000,2021,7900,Diesel,Automatic,Black,First,Individual,1996.0,6.0,75.0
Maruti Suzuki,229999,2010,72000,Petrol,Manual,Silver,First,Individual,1298.0,5.0,43.0
Audi,1513000,2015,79000,Diesel,Automatic,Blue,Second,Individual,1968.0,5.0,64.0
Maruti Suzuki,234000,2013,72600,Petrol,Manual,White,First,Individual,998.0,5.0,35.0
Datsun,320000,2018,42313,Petrol,Automatic,Grey,Second,Individual,999.0,5.0,28.0
BMW,5975000,2021,18000,Diesel,Automatic,White,First,Individual,1995.0,5.0,67.0
Maruti Suzuki,1025000,2019,90000,Diesel,Manual,White,First,Individual,1248.0,5.0,48.0
Maruti Suzuki,169000,2010,18500,Petrol,Manual,Gold,First,Individual,796.0,5.0,35.0
Maruti Suzuki,630000,2017,36000,Diesel,Manual,Blue,First,Individual,1248.0,5.0,37.0
Hyundai,1090000,2020,26200,Petrol,Automatic,White,First,Individual,998.0,5.0,45.0
Maruti Suzuki,700000,2019,11000,Petrol,Manual,Silver,Second,Individual,1197.0,5.0,37.0
Maruti Suzuki,661000,2021,14366,Petrol,Manual,Others,First,Individual,1197.0,5.0,37.0
Tata,250999,2011,98000,Diesel,Manual,Silver,First,Individual,2179.0,7.0,65.0
Mahindra,565000,2017,65000,Diesel,Manual,Red,Second,Individual,1493.0,7.0,60.0
Toyota,750000,2014,126000,Diesel,Manual,Silver,First,Individual,2494.0,7.0,55.0
Audi,1850000,2015,71700,Diesel,Automatic,White,Second,Individual,1968.0,5.0,64.0
Mahindra,850000,2016,114000,Diesel,Manual,White,First,Individual,2179.0,7.0,70.0
Hyundai,535000,2016,58339,Diesel,Manual,Grey,First,Individual,1396.0,5.0,45.0
Volkswagen,345000,2011,50667,Petrol,Automatic,White,Second,Individual,1692.5755432036383,5.0,52.00220966084276
Maruti Suzuki,770000,2019,72040,Diesel,Automatic,Silver,First,Individual,1248.0,5.0,37.0
BMW,3650000,2019,6000,Petrol,Automatic,White,First,Individual,1998.0,5.0,57.0
Kia,1195000,2022,6200,Petrol,Manual,Red,First,Individual,998.0,5.0,45.0
Mercedes-Benz,1650000,2012,44000,Petrol,Automatic,Silver,Third,Individual,5461.0,5.0,90.0
Skoda,3199000,2021,6900,Petrol,Automatic,Brown,First,Individual,1798.0,5.0,66.0
Mercedes-Benz,7100000,2022,2500,Petrol,Automatic,Grey,First,Individual,1991.0,5.0,80.0
Volkswagen,625000,2016,68000,Petrol,Automatic,White,First,Individual,1197.0,5.0,45.0
